Agente,Partida,Victoria,Tiempo_Jugada_ms,Turnos_Totales
Random,1,1,0.05936447311850155,136
Random,2,0,0.04226876341778299,184
Random,3,1,0.048224415097917826,56
Random,4,1,0.0,110
Random,5,0,0.0,50
Random,6,0,0.0,54
Random,7,0,0.08953534639798678,182
Random,8,1,0.0,46
Random,9,1,0.0,44
Random,10,1,0.0,118
Random,11,1,0.1309895124591765,122
Random,12,0,0.06542603174845378,36
Random,13,1,0.019962588946024578,144
Random,14,1,0.050195625850132534,252
Random,15,0,0.0,64
Random,16,0,0.06743419317551601,162
Random,17,1,0.0684503195942312,138
Random,18,0,0.06492435932159424,96
Random,19,0,0.04778305689493815,24
Random,20,0,0.0,48
Random,21,1,0.0453303600179738,116
Random,22,1,0.05511957056382123,170
Random,23,1,0.027994314829508465,72
Random,24,1,0.049393351485089554,82
Random,25,1,0.053135972273977185,38
Random,26,1,0.03746151924133301,208
Random,27,0,0.04195173581441244,48
Random,28,0,0.05756105695452009,70
Random,29,1,0.03490776851259429,116
Random,30,1,0.045859624469091025,126
Random,31,0,0.0,82
Random,32,0,0.0,86
Random,33,0,0.0784043038245475,202
Random,34,1,0.0,68
Random,35,1,0.0,58
Random,36,0,0.09702394406000774,96
Random,37,0,0.0947872797648112,30
Random,38,0,0.020453333854675293,80
Random,39,0,0.0,86
Random,40,1,0.04121550807246456,378
Random,41,0,0.3150070414823644,34
Random,42,0,0.05227753094264439,56
Random,43,0,0.0,200
Random,44,0,0.09453885349226587,162
Random,45,1,0.0,30
Random,46,1,0.0,124
Random,47,0,0.11161705116172889,154
Random,48,0,0.0,38
Random,49,1,0.0,94
Random,50,0,0.0,142
Random,51,1,0.23219320509168836,54
Random,52,1,0.07415976789262559,144
Random,53,1,0.0,36
Random,54,1,0.05796093207139235,104
Random,55,0,0.04377216100692749,32
Random,56,1,0.046753883361816406,50
Random,57,1,0.05887746810913086,240
Random,58,0,0.040065158497203476,44
Random,59,0,0.16398990855497472,34
Random,60,0,0.01933461143856957,84
Random,61,0,0.0,88
Random,62,0,0.07986004759625691,164
Random,63,0,0.23413788188587534,176
Random,64,0,0.06089969114823775,220
Random,65,1,0.0762654387432596,92
Random,66,0,0.06895943691855984,76
Random,67,1,0.06536899074431389,62
Random,68,1,0.07255077362060547,90
Random,69,0,0.0702214241027832,100
Random,70,1,0.019496993014686985,228
Random,71,1,0.0,54
Random,72,0,0.14054484483672353,82
Random,73,1,0.13341009616851807,32
Random,74,1,0.041323549607220816,102
Random,75,1,0.0,94
Random,76,1,0.0,92
Random,77,1,0.13729860616284748,86
Random,78,1,0.0,54
Random,79,0,0.0,28
Random,80,0,0.0,82
Random,81,1,0.0,76
Random,82,1,0.0,40
Random,83,0,0.0,58
Random,84,1,0.46579978045295267,34
Random,85,1,0.0,206
Random,86,0,0.0,34
Random,87,0,0.13676336256124205,118
Random,88,0,0.0,46
Random,89,1,0.1489877700805664,80
Random,90,0,0.05366802215576172,70
Random,91,0,0.0,30
Random,92,1,0.0,30
Random,93,1,0.0,72
Random,94,1,0.12451410293579102,168
Random,95,1,0.07034758085845619,186
Random,96,0,0.047071226711930904,116
Random,97,1,0.08811210763865504,58
Random,98,0,0.0,138
Random,99,1,0.164031982421875,52
Random,100,0,0.05731344223022461,100
Random,101,1,0.035794008345831005,84
Random,102,0,0.0,118
Random,103,0,0.08170274977988384,188
Random,104,1,0.0,48
Random,105,0,0.08170058329900105,192
Random,106,0,0.0,116
Random,107,1,0.0,108
Random,108,1,0.19628189979715552,94
Random,109,0,0.03614690568712023,36
Random,110,0,0.08597828093029203,42
Random,111,1,0.02194826419536884,52
Random,112,1,0.0,54
Random,113,0,0.0,52
Random,114,1,0.08302599519163698,182
Random,115,0,0.0,58
Random,116,1,0.050861532516901,362
Random,117,0,0.0,70
Random,118,0,0.08951778143224581,142
Random,119,1,0.0,64
Random,120,1,0.0,62
Random,121,0,0.0,34
Random,122,0,0.11846912440968983,134
Random,123,1,0.0,80
Random,124,0,0.11007827624940036,114
Random,125,1,0.018589837210518975,140
Random,126,1,0.0,58
Random,127,0,0.08161758121691252,228
Random,128,1,0.0,38
Random,129,1,0.0,56
Random,130,1,0.0,56
Random,131,0,0.242765744527181,60
Random,132,0,0.06380677223205566,56
Random,133,1,0.033783190178148674,66
Random,134,1,0.0,36
Random,135,1,0.0,74
Random,136,0,0.10016282399495444,150
Random,137,0,0.031113624572753906,470
Random,138,1,0.3296186526616414,48
Random,139,1,0.0,110
Random,140,0,0.0,26
Random,141,1,0.0,50
Random,142,0,0.3704875707626343,48
Random,143,0,0.0,38
Random,144,0,0.0,64
Random,145,1,0.0,60
Random,146,0,0.12996020140471282,108
Random,147,1,0.06340195735295613,96
Random,148,0,0.06558546205846275,164
Random,149,0,0.09029986811619178,102
Random,150,1,0.0,118
Random,151,0,0.07966481722318208,130
Random,152,0,0.03813064261658551,146
Random,153,1,0.28651952743530273,32
Random,154,0,0.0,80
Random,155,0,0.0,44
Random,156,0,0.07559223608537154,264
Random,157,0,0.0,150
Random,158,0,0.13022059979646103,92
Random,159,1,0.0,32
Random,160,1,0.16068893930186398,46
Random,161,1,0.04740556081136068,252
Random,162,1,0.0,54
Random,163,1,0.0,58
Random,164,0,0.12142153886648324,104
Random,165,0,0.0,82
Random,166,1,0.20412136526668773,34
Random,167,1,0.07884101112290184,202
Random,168,0,0.06656646728515625,240
Random,169,0,0.01290787098019622,86
Random,170,0,0.046066845519633234,316
Random,171,1,0.17702049679226345,90
Random,172,0,0.07190874644688197,56
Random,173,0,0.066987673441569,30
Random,174,1,0.06375615558927022,126
Random,175,1,0.05895644426345825,64
Random,176,0,0.05023777484893799,80
Random,177,0,0.06280094385147095,32
Random,178,0,0.06593081910731428,118
Random,179,0,0.06104599345814098,66
Random,180,1,0.07175547736031669,28
Random,181,0,0.07178102220807757,28
Random,182,0,0.04783130827404204,42
Random,183,0,0.09377165274186568,88
Random,184,1,0.06269084082709418,54
Random,185,1,0.0,28
Random,186,0,0.0,76
Random,187,0,0.1663375984538685,88
Random,188,1,0.0,46
Random,189,0,0.0,66
Random,190,1,0.12802547878689235,90
Random,191,0,0.023339475904192244,112
Random,192,0,0.0,58
Random,193,1,0.0,58
Random,194,0,0.5086580912272135,30
Random,195,1,0.043359067704942494,108
Random,196,0,0.08679736744273793,110
Random,197,1,0.12441593057969039,68
Random,198,1,0.03833981121287627,68
Random,199,0,0.0,104
Random,200,1,0.11016672307794743,110
Random,201,0,0.029883601448752663,44
Random,202,0,0.07845213015874226,96
Random,203,0,0.040507784076765474,102
Random,204,0,0.08220437132282021,162
Random,205,0,0.0,92
Random,206,1,0.0,92
Random,207,0,0.41335470536175895,34
Random,208,1,0.033550792270236544,108
Random,209,0,0.0,98
Random,210,1,0.07302027482252854,208
Random,211,1,0.09715735022701434,134
Random,212,0,0.08715391159057617,60
Random,213,0,0.0,144
Random,214,1,0.14198028435141352,118
Random,215,1,0.0,44
Random,216,1,0.11712442273678987,184
Random,217,0,0.0,74
Random,218,0,0.136211183336046,90
Random,219,0,0.0,76
Random,220,1,0.0,88
Random,221,0,0.4245231026097348,38
Random,222,0,0.007748603820800781,68
Random,223,0,0.0,92
Random,224,1,0.10145437426683379,164
Random,225,1,0.0,70
Random,226,0,0.0,84
Random,227,1,0.2600460341482452,66
Random,228,1,0.063494580690978,244
Random,229,0,0.0,28
Random,230,0,0.0677633285522461,200
Random,231,1,0.008689459934029527,186
Random,232,0,0.16780903464869448,114
Random,233,0,0.0,102
Random,234,1,0.15079975128173828,74
Random,235,1,0.0,78
Random,236,0,0.0,50
Random,237,1,0.13322652654444916,188
Random,238,0,0.0692770398896316,58
Random,239,0,0.07677759443010602,70
Random,240,0,0.06934135190902217,62
Random,241,0,0.043330448014395576,112
Random,242,0,0.09980066767278707,106
Random,243,0,0.011641403724407329,58
Random,244,1,0.06547159162060967,232
Random,245,0,0.08170394336476046,68
Random,246,0,0.06787154985510785,138
Random,247,1,0.07571918623788017,56
Random,248,1,0.056253539191352,36
Random,249,1,0.0,56
Reglas,1,0,0.05936447311850155,136
Reglas,2,1,0.04226876341778299,184
Reglas,3,0,0.048224415097917826,56
Reglas,4,0,0.0,110
Reglas,5,1,0.0,50
Reglas,6,1,0.0,54
Reglas,7,1,0.08953534639798678,182
Reglas,8,0,0.0,46
Reglas,9,0,0.0,44
Reglas,10,0,0.0,118
Reglas,11,0,0.1309895124591765,122
Reglas,12,1,0.06542603174845378,36
Reglas,13,0,0.019962588946024578,144
Reglas,14,0,0.050195625850132534,252
Reglas,15,1,0.0,64
Reglas,16,1,0.06743419317551601,162
Reglas,17,0,0.0684503195942312,138
Reglas,18,1,0.06492435932159424,96
Reglas,19,1,0.04778305689493815,24
Reglas,20,1,0.0,48
Reglas,21,0,0.0453303600179738,116
Reglas,22,0,0.05511957056382123,170
Reglas,23,0,0.027994314829508465,72
Reglas,24,0,0.049393351485089554,82
Reglas,25,0,0.053135972273977185,38
Reglas,26,0,0.03746151924133301,208
Reglas,27,1,0.04195173581441244,48
Reglas,28,1,0.05756105695452009,70
Reglas,29,0,0.03490776851259429,116
Reglas,30,0,0.045859624469091025,126
